Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years,CPI
1972-09-01,27592.86,0.36,115.9,86.1,2783,9624,0.122,0.14960622,0,0.176649746,0.057739558,0.219010074,0.10760732,2002,42.1
1972-10-01,27571.86,0.36,115.8,87,2783,9624,0.13,0.148731294,0,0.175634518,0.068796069,0.219010074,0.10760732,2003,42.2
1972-11-01,27592.86,0.36,115.4,86.7,2783,9624,0.136,0.14960622,0,0.171573604,0.065110565,0.219010074,0.10760732,2004,42.4
1972-12-01,27613.86,0.36,117.8,88,2783,9624,0.137,0.150481147,0,0.195939086,0.081081081,0.219010074,0.10760732,2005,42.5
1973-01-01,27550.86,0.39,125.5,93.6,2909,10471,0.124,0.147856367,0.083333333,0.274111675,0.14987715,0.274200613,0.205086891,2006,42.7
1973-02-01,27550.86,0.39,134,96.6,2909,10471,0.125,0.147856367,0.083333333,0.360406091,0.186732187,0.274200613,0.205086891,2007,43
1973-03-01,27571.86,0.39,139.3,102.5,2909,10471,0.127,0.148731294,0.083333333,0.414213198,0.259213759,0.274200613,0.205086891,2008,43.4
1973-04-01,27571.86,0.39,140,102.2,2909,10471,0.132,0.148731294,0.083333333,0.421319797,0.255528256,0.274200613,0.205086891,2009,43.7
1973-05-01,27634.86,0.39,140.1,101.9,2909,10471,0.132,0.151356074,0.083333333,0.422335025,0.251842752,0.274200613,0.205086891,2010,43.9
1973-06-01,27697.86,0.39,139.6,103.6,2909,10471,0.136,0.153980854,0.083333333,0.417258883,0.272727273,0.274200613,0.205086891,2011,44.2
1973-07-01,27676.86,0.39,140.6,107,2909,10471,0.132,0.153105927,0.083333333,0.427411168,0.314496314,0.274200613,0.205086891,2012,44.2
1973-08-01,27928.85,0.39,148.7,130.9,2909,10471,0.139,0.163604631,0.083333333,0.50964467,0.608108108,0.274200613,0.205086891,2013,45
1973-09-01,28033.84,0.39,149.5,125.7,2909,10471,0.131,0.167978848,0.083333333,0.517766497,0.544226044,0.274200613,0.205086891,2014,45.2
1973-10-01,28243.84,0.39,140.4,116.5,2909,10471,0.144,0.176728116,0.083333333,0.425380711,0.431203931,0.274200613,0.205086891,2015,45.6
1973-11-01,28369.83,0.39,139.4,114.8,2909,10471,0.144,0.181977259,0.083333333,0.415228426,0.41031941,0.274200613,0.205086891,2016,45.9
1973-12-01,28558.82,0.39,138.9,115.2,2909,10471,0.148,0.189851183,0.083333333,0.410152284,0.415233415,0.274200613,0.205086891,2017,46.3
1974-01-01,28789.81,0.53,147.8,116.2,3152,11147,0.143,0.199474961,0.472222222,0.500507614,0.427518428,0.380639509,0.282886408,2018,46.8
1974-02-01,29020.8,0.53,155.1,116.7,3152,11147,0.142,0.209098738,0.472222222,0.574619289,0.433660934,0.380639509,0.282886408,2019,47.3
1974-03-01,29335.79,0.53,147.2,111.4,3152,11147,0.134,0.222222222,0.472222222,0.494416244,0.368550369,0.380639509,0.282886408,2020,47.8
1974-04-01,29440.79,0.53,141.2,104.3,3152,11147,0.131,0.226596856,0.472222222,0.433502538,0.281326781,0.380639509,0.282886408,2021,48.1
1974-05-01,29587.78,0.53,139.9,99,3152,11147,0.128,0.232720926,0.472222222,0.420304569,0.216216216,0.380639509,0.282886408,,48.6
